127.0.0.1, 2015-07-05 15:43:01, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.15-43-00.e55a5b68-5b3b-4693-b090-be99bc35ff84, HTTP/1.1, 200, 0.113870
127.0.0.1, 2015-07-05 15:44:08, GET, /parse_acquisuite, HTTP/1.1, 500, 0.026484
127.0.0.1, 2015-07-05 15:44:10, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.15-44-08.ced0a503-c7e1-495d-81e1-4090bd398e3d, HTTP/1.1, 200, 0.116987
127.0.0.1, 2015-07-05 15:45:30, GET, /parse_acquisuite, HTTP/1.1, 500, 0.027541
127.0.0.1, 2015-07-05 15:45:32, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.15-45-30.a971de77-c723-48f8-987e-25bc0a592f4c, HTTP/1.1, 200, 0.085214
127.0.0.1, 2015-07-05 15:46:56, GET, /parse_acquisuite, HTTP/1.1, 500, 0.032254
127.0.0.1, 2015-07-05 15:46:57, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.15-46-56.533ab18f-3903-44ad-9bfc-2404d385fb09, HTTP/1.1, 200, 0.114284
127.0.0.1, 2015-07-05 15:47:20, GET, /parse_acquisuite, HTTP/1.1, 200, 0.177249
127.0.0.1, 2015-07-05 15:47:25, GET, /parse_acquisuite, HTTP/1.1, 200, 0.025080
127.0.0.1, 2015-07-05 15:48:30, GET, /parse_acquisuite, HTTP/1.1, 200, 0.014916
127.0.0.1, 2015-07-05 15:49:35, GET, /parse_acquisuite, HTTP/1.1, 500, 0.031457
127.0.0.1, 2015-07-05 15:49:36, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.15-49-34.a94bd856-d449-4b51-afd2-68ab6d46ea26, HTTP/1.1, 200, 0.096701
127.0.0.1, 2015-07-05 15:50:02, GET, /parse_acquisuite, HTTP/1.1, 200, 0.155223
127.0.0.1, 2015-07-05 15:50:34, GET, /parse_acquisuite, HTTP/1.1, 500, 0.026524
127.0.0.1, 2015-07-05 15:50:36, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.15-50-34.d5f02d80-b84a-4c12-ad01-d062957891ca, HTTP/1.1, 200, 0.120186
127.0.0.1, 2015-07-05 15:50:51, GET, /parse_acquisuite, HTTP/1.1, 200, 0.179429
127.0.0.1, 2015-07-05 15:50:53, GET, /parse_acquisuite, HTTP/1.1, 200, 0.469174
127.0.0.1, 2015-07-05 15:54:58, GET, /parse_acquisuite, HTTP/1.1, 200, 0.170445
127.0.0.1, 2015-07-05 15:55:31, GET, /parse_acquisuite, HTTP/1.1, 200, 0.164991
127.0.0.1, 2015-07-05 16:25:38, GET, /parse_acquisuite, HTTP/1.1, 500, 5.664130
127.0.0.1, 2015-07-05 16:25:40, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.16-25-32.09e8c5e8-0db1-4f96-80c4-bc3c841b14c9, HTTP/1.1, 200, 0.263127
127.0.0.1, 2015-07-05 16:27:07, GET, /, HTTP/1.1, 500, 5.618676
